title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres
Bring Up the Bodies,Hilary Mantel,English,4.28,91171,8671,"Henry Holt & Company, Inc.",2012.0,412.0,Hardcover,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Audiobook', 'Literary Fiction', 'Literature', 'Tudor Period', 'Novels', '16th Century']"
Where I'm Calling From: New and Selected Stories,Raymond Carver,English,4.42,21237,1053,Vintage Contemporaries,2000.0,544.0,Paperback,"['Short Stories', 'Fiction', 'Literature', 'Classics', 'American', 'Literary Fiction', 'Contemporary', 'The United States Of America', 'Short Story Collection', 'Americana']"
Still Life,Louise Penny,English,3.9,225680,18390,St. Martin's Paperbacks,2007.0,293.0,Mass Market Paperback,"['Mystery', 'Fiction', 'Crime', 'Mystery Thriller', 'Audiobook', 'Canada', 'Adult', 'Thriller', 'Detective', 'Adult Fiction']"
1st to Die,James Patterson,English,4.1,328037,7523,Grand Central Publishing,2005.0,424.0,Paperback,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Murder Mystery', 'Audiobook', 'Adult', 'Detective']"
Nick & Norah's Infinite Playlist,David Levithan,English,3.69,83484,5162,Alfred A. Knopf Books for Young Readers,2006.0,183.0,Hardcover,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Music', 'Realistic Fiction', 'Teen', 'Young Adult Contemporary', 'Audiobook', 'Chick Lit']"
La resistencia,Laura Gallego,Spanish,4.13,20574,1234,SM,2004.0,558.0,Hardcover,"['Fantasy', 'Young Adult', 'Romance', 'Spanish Literature', 'Fiction', 'Dragons', 'Magic', 'Childrens', 'Young Adult Fantasy', 'Epic Fantasy']"
The Waste Land and Other Poems,T.S. Eliot,English,4.22,62031,1251,Harcourt Brace Jovanovich,1955.0,88.0,Paperback,"['Poetry', 'Classics', 'Fiction', 'Literature', '20th Century', 'American', 'School', 'British Literature', 'College', 'Nobel Prize']"
The Mother Tongue: English and How It Got That Way,Bill Bryson,English,3.91,40368,3131,William Morrow Paperbacks,1991.0,270.0,Paperback,"['Nonfiction', 'History', 'Language', 'Linguistics', 'Humor', 'Audiobook', 'Writing', 'Travel', 'Reference', 'Science']"
Plato: Complete Works,Plato,English,4.37,10895,203,Hackett Publishing Co.,1997.0,1848.0,Hardcover,"['Philosophy', 'Classics', 'Nonfiction', 'History', 'Politics', 'Ancient', 'Greece', 'Reference', 'Literature', 'School']"
"White Witch, Black Curse",Kim Harrison,English,4.34,49867,1287,Eos,2009.0,504.0,Hardcover,"['Urban Fantasy', 'Fantasy', 'Paranormal', 'Vampires', 'Witches', 'Magic', 'Demons', 'Fiction', 'Supernatural', 'Paranormal Romance']"
A Soldier Of The Great War,Mark Helprin,English,4.34,7185,807,Mariner Books,2005.0,860.0,Paperback,"['Fiction', 'Historical Fiction', 'War', 'Italy', 'World War I', 'Historical', 'Literature', 'Novels', 'Literary Fiction', 'Audiobook']"
Touching the moon,Malcolm McCoard,,4.29,105,3,,,,ebook,"['Fiction', 'Historical Fiction', 'War', 'Italy', 'World War I', 'Historical', 'Literature', 'Novels', 'Literary Fiction', 'Audiobook']"
The Cost of Discipleship,Dietrich Bonhoeffer,English,4.29,42410,1505,Touchstone,1995.0,320.0,Paperback,"['Christian', 'Theology', 'Christianity', 'Religion', 'Nonfiction', 'Faith', 'Christian Living', 'Discipleship', 'Spirituality', 'Classics']"
The Apprentice,Tess Gerritsen,English,4.13,60115,2605,Ballantine Books,2008.0,376.0,Mass Market Paperback,"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Mystery Thriller', 'Suspense', 'Detective', 'Audiobook', 'Murder Mystery', 'Adult']"
