title,author,language,avg_ratings,ratings_count,reviews_count,publisher,publish_year,num_pages,page_format,genres,link
Alias Grace,Margaret Atwood,English,4.04,"135,908","8,212",Doubleday Nan A. Talese,1996.0,468.0,Hardcover,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Canada', 'Classics', 'Literary Fiction', 'Crime', 'Literature', 'Novels']",https://www.goodreads.com/book/show/72579.Alias_Grace
On the Jellicoe Road,Melina Marchetta,English,4.12,"49,544","7,206",Penguin Australia,2006.0,290.0,Paperback,"['Young Adult', 'Contemporary', 'Fiction', 'Mystery', 'Romance', 'Realistic Fiction', 'Australia', 'Coming Of Age', 'Young Adult Contemporary', 'Teen']",https://www.goodreads.com/book/show/1162022.On_the_Jellicoe_Road
Until You,Penelope Douglas,,4.23,"51,639","3,401",Intermix (Penguin Group (USA) LLC),2014.0,406.0,ebook,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'High School', 'Abuse', 'Adult', 'Drama', 'Love']",https://www.goodreads.com/book/show/20803962-until-you
The Man Who Laughs,Victor Hugo,English,4.24,"12,328",823,Norilana Books,2006.0,672.0,Paperback,"['Classics', 'Fiction', 'France', 'Historical Fiction', 'French Literature', 'Literature', 'Novels', 'Historical', '19th Century', 'Romance']",https://www.goodreads.com/book/show/63038.The_Man_Who_Laughs
"Berserk, Vol. 1",Kentaro Miura,English,4.48,"39,772","1,746",Dark Horse Manga,2003.0,224.0,Paperback,"['Manga', 'Fantasy', 'Comics', 'Horror', 'Graphic Novels', 'Fiction', 'Seinen', 'Comics Manga', 'Dark Fantasy', 'Action']",https://www.goodreads.com/book/show/248871.Berserk_Vol_1
Sepulchre,Kate Mosse,English,3.79,"20,598","1,535",Orion ,2007.0,550.0,Hardcover,"['Historical Fiction', 'Fiction', 'Mystery', 'Fantasy', 'Historical', 'Thriller', 'France', 'Romance', 'Audiobook', 'Supernatural']",https://www.goodreads.com/book/show/498835.Sepulchre
Letter to a Child Never Born,Oriana Fallaci,English,3.97,"18,472","1,328",Pocket,1982.0,128.0,Hardcover,"['Fiction', 'Novels', 'Italian Literature', 'Feminism', 'Italy', 'Literature', 'Philosophy', 'Classics', 'Womens', 'Contemporary']",https://www.goodreads.com/book/show/79429.Letter_to_a_Child_Never_Born
The Killer Collective,Barry Eisler,English,4.02,"25,277","1,379",Thomas & Mercer,2019.0,450.0,Kindle Edition,"['Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Crime', 'Suspense', 'Amazon', 'Action', 'Audiobook', 'Espionage']",https://www.goodreads.com/book/show/40492305-the-killer-collective
The Secret of Ella and Micha,Jessica Sorensen,English,3.99,"70,545","3,366",,2012.0,313.0,Paperback,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'College', 'Chick Lit', 'Fiction', 'Music', 'Adult']",https://www.goodreads.com/book/show/15717876-the-secret-of-ella-and-micha
The Midnight Library,Matt Haig,English,4.02,"1,371,842","148,335",Viking,2020.0,304.0,Hardcover,"['Fiction', 'Fantasy', 'Contemporary', 'Audiobook', 'Magical Realism', 'Adult', 'Science Fiction', 'Mental Health', 'Adult Fiction', 'Book Club']",https://www.goodreads.com/book/show/52578297-the-midnight-library
I Let You Go,Clare Mackintosh,English,4.05,"126,618","13,754",Sphere,2014.0,371.0,Paperback,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook', 'Adult', 'Psychological Thriller', 'Contemporary']",https://www.goodreads.com/book/show/23125266-i-let-you-go
Amerika,Franz Kafka,English,3.74,"27,614","1,329",Schocken,1996.0,336.0,Paperback,"['Fiction', 'Classics', 'German Literature', 'Literature', 'Novels', 'Czech Literature', '20th Century', 'Philosophy', 'Literary Fiction', 'Classic Literature']",https://www.goodreads.com/book/show/22911.Amerika
The Insult,Rupert Thomson,English,3.57,"1,208",83,Bloomsbury Publishing,2004.0,416.0,Paperback,"['Fiction', 'Thriller', 'Mystery', 'Literary Fiction', 'Contemporary', 'British Literature', 'Modern', 'Crime', 'Literature', 'Novels']",https://www.goodreads.com/book/show/285810.The_Insult
How to Not Be an Idiot When You Get Divorced,Jaeson D. Rau,,4.18,205,8,Authorhouse,2014.0,50.0,Paperback,"['Self Help', 'Humor', 'Adult', 'Nonfiction', 'Psychology', 'Guidebook', 'New Adult', 'Modern', 'True Story']",https://www.goodreads.com/book/show/22646445-how-to-not-be-an-idiot-when-you-get-divorced
The Rose Society,Marie Lu,English,4.03,"61,606","7,212",G.P. Putnam's Sons Books for Young Readers,2015.0,398.0,Hardcover,"['Fantasy', 'Young Adult', 'Dystopia', 'Romance', 'Young Adult Fantasy', 'Fiction', 'Magic', 'High Fantasy', 'Science Fiction', 'Paranormal']",https://www.goodreads.com/book/show/23846013-the-rose-society
The Arbitrator,Max Nowaz,English,4.28,"8,976",55,Amazon,2019.0,229.0,Paperback,"['Science Fiction', 'Fiction', 'Novels', 'Science Fiction Fantasy', 'Space', 'Space Opera', 'Young Adult', 'Adventure', 'Epic', 'Teen']",https://www.goodreads.com/book/show/30760409-the-arbitrator
Narrative of the Life of Frederick Douglass,Frederick Douglass,English,4.09,"116,754","6,182",Prestwick House Inc.,2004.0,158.0,Paperback,"['Nonfiction', 'History', 'Classics', 'Biography', 'Memoir', 'School', 'Autobiography', 'African American', 'American History', 'Historical']",https://www.goodreads.com/book/show/36529.Narrative_of_the_Life_of_Frederick_Douglass
Robopocalypse,Daniel H. Wilson,English,3.7,"38,528","4,426",Doubleday,2011.0,368.0,Hardcover,"['Science Fiction', 'Fiction', 'Post Apocalyptic', 'Dystopia', 'Robots', 'Thriller', 'Apocalyptic', 'Science Fiction Fantasy', 'Audiobook', 'Fantasy']",https://www.goodreads.com/book/show/9634967-robopocalypse
Dragonsdawn,Anne McCaffrey,English,4.22,"38,676",726,Ultramarine Pub Co,1988.0,384.0,Hardcover,"['Fantasy', 'Science Fiction', 'Dragons', 'Fiction', 'Science Fiction Fantasy', 'Young Adult', 'Adult', 'Adventure', 'High Fantasy', 'Novels']",https://www.goodreads.com/book/show/465904.Dragonsdawn
"The Removable Root Cause of Cancers and other Chronic Diseases : The Effort Theory of Evolution, Chronic Diseases and Extinction",Paul Ola,,3.72,25,4,,2020.0,,Kindle Edition,"['Health', 'Nonfiction', 'Medicine', 'Science']",https://www.goodreads.com/book/show/55431329-the-removable-root-cause-of-cancers-and-other-chronic-diseases
A Man for All Seasons: A Play in Two Acts,Robert Bolt,English,3.88,"13,855",578,Vintage,1990.0,163.0,Paperback,"['Plays', 'Classics', 'Drama', 'Historical Fiction', 'Fiction', 'Literature', 'School', 'Historical', 'Theatre', 'Religion']",https://www.goodreads.com/book/show/403098.A_Man_for_All_Seasons
Dante's End,Ariana Nash,English,3.92,673,156,Crazy Ace Publishing,2022.0,322.0,Paperback,"['Fantasy', 'M M Romance', 'Romance', 'Dark', 'Paranormal', 'LGBT', 'Queer', 'Monsters', 'Magic', 'Fantasy Romance']",https://www.goodreads.com/book/show/61376052-dante-s-end
Every Breath,Nicholas Sparks,English,4.05,"89,270","6,834",Grand Central Publishing,2018.0,321.0,Kindle Edition,"['Romance', 'Fiction', 'Chick Lit', 'Audiobook', 'Contemporary', 'Adult', 'Adult Fiction', 'Contemporary Romance', 'Drama', 'Novels']",https://www.goodreads.com/book/show/38212843-every-breath
"Jesus Freaks: Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks",D.C. Talk,English,4.21,"20,332",353,Albury Publishing,1999.0,383.0,Paperback,"['Christian', 'Nonfiction', 'Biography', 'Christianity', 'Religion', 'Christian Non Fiction', 'Faith', 'History', 'Christian Living', 'Theology']",https://www.goodreads.com/book/show/8964.Jesus_Freaks
Bloodfever,Karen Marie Moning,English,4.25,"105,385","5,662",Delacorte Press,2007.0,303.0,Hardcover,"['Fantasy', 'Urban Fantasy', 'Paranormal', 'Romance', 'Fae', 'Paranormal Romance', 'Adult', 'Fiction', 'Magic', 'Supernatural']",https://www.goodreads.com/book/show/344262.Bloodfever
Love the One You're With,Emily Giffin,English,3.75,"174,147","5,419",St. Martin's Press,2008.0,342.0,Hardcover,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Adult Fiction', 'Adult', 'Audiobook', 'Contemporary Romance', 'Womens Fiction', 'Marriage']",https://www.goodreads.com/book/show/2120652.Love_the_One_You_re_With
"If You Tell: a True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood",Gregg Olsen,English,4.0,"204,655","17,329",Thomas & Mercer,2019.0,431.0,Kindle Edition,"['True Crime', 'Nonfiction', 'Crime', 'Audiobook', 'Mystery', 'Thriller', 'Horror', 'Memoir', 'Mystery Thriller', 'Biography']",https://www.goodreads.com/book/show/45299992-if-you-tell
A Separate Peace,John Knowles,English,3.59,"211,509","8,927",Scribner,2003.0,208.0,Paperback,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'School', 'Coming Of Age', 'High School', 'Literature', 'Read For School', 'Novels']",https://www.goodreads.com/book/show/5148.A_Separate_Peace
